emp_id,age,age_group,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,salary_slab,monthly_rate,num_companies_worked,over_18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
RM854,19,18-25,no,travel_rarely,645.0,research & development,9,2,life sciences,1,1193,3,male,54.0,3,1,research scientist,1,single,2552.0,upto 5k,7172.0,1,y,no,25,4,3,80,0,1,4,3,1,1,0,0
RM893,19,18-25,yes,non-travel,504.0,research & development,10,3,medical,1,1248,1,female,96.0,2,1,research scientist,2,single,1859.0,upto 5k,6148.0,1,y,yes,25,4,2,80,0,1,2,4,1,1,0,0
RM910,19,18-25,no,travel_rarely,265.0,research & development,25,3,life sciences,1,1269,2,female,57.0,4,1,research scientist,4,single,2994.0,upto 5k,21221.0,1,y,yes,12,3,4,80,0,1,2,3,1,0,0,1
RM103,20,18-25,yes,travel_frequently,871.0,research & development,6,3,life sciences,1,137,4,female,66.0,2,1,laboratory technician,4,single,2926.0,upto 5k,19783.0,1,y,yes,18,3,2,80,0,1,5,3,1,0,1,0
RM488,20,18-25,no,travel_rarely,959.0,research & development,1,3,life sciences,1,657,4,female,83.0,2,1,research scientist,2,single,2836.0,upto 5k,11757.0,1,y,no,13,3,4,80,0,1,0,4,1,0,0,0
RM514,20,18-25,yes,travel_rarely,1362.0,research & development,10,1,medical,1,701,4,male,32.0,3,1,research scientist,3,single,1009.0,upto 5k,26999.0,1,y,yes,11,3,4,80,0,1,5,3,1,0,1,1
RM663,20,18-25,yes,travel_rarely,500.0,sales,2,3,medical,1,922,3,female,49.0,2,1,sales representative,3,single,2044.0,upto 5k,22052.0,1,y,no,13,3,4,80,0,2,3,2,2,2,0,2
RM690,20,18-25,yes,travel_rarely,129.0,research & development,4,3,technical degree,1,960,1,male,84.0,3,1,laboratory technician,1,single,2973.0,upto 5k,13008.0,1,y,no,19,3,2,80,0,1,2,3,1,0,0,0
RM732,20,18-25,yes,travel_rarely,1097.0,research & development,11,3,medical,1,1016,4,female,98.0,2,1,research scientist,1,single,2600.0,upto 5k,18275.0,1,y,yes,15,3,1,80,0,1,2,3,1,0,0,0
RM777,20,18-25,yes,travel_frequently,769.0,sales,9,3,marketing,1,1077,4,female,54.0,3,1,sales representative,4,single,2323.0,upto 5k,17205.0,1,y,yes,14,3,2,80,0,2,3,3,2,2,0,2
RM857,20,18-25,no,travel_rarely,805.0,research & development,3,3,life sciences,1,1198,1,male,87.0,2,1,laboratory technician,3,single,3033.0,upto 5k,12828.0,1,y,no,12,3,1,80,0,2,2,2,2,2,1,2
RM877,20,18-25,no,travel_rarely,654.0,sales,21,3,marketing,1,1226,3,male,43.0,4,1,sales representative,4,single,2678.0,upto 5k,5050.0,1,y,no,17,3,4,80,0,2,2,3,2,1,2,2
RM1179,20,18-25,no,travel_rarely,1141.0,sales,2,3,medical,1,1657,3,female,31.0,3,1,sales representative,3,single,2783.0,upto 5k,13251.0,1,y,no,19,3,1,80,0,2,3,3,2,2,2,2
RM1198,20,18-25,no,travel_rarely,727.0,sales,9,1,life sciences,1,1680,4,male,54.0,3,1,sales representative,1,single,2728.0,upto 5k,21082.0,1,y,no,11,3,1,80,0,2,3,3,2,2,0,2
RM275,21,18-25,no,travel_rarely,996.0,research & development,3,2,medical,1,379,4,male,100.0,2,1,research scientist,3,single,3230.0,upto 5k,10531.0,1,y,no,17,3,1,80,0,3,4,4,3,2,1,0
RM358,21,18-25,yes,travel_frequently,756.0,sales,1,1,technical degree,1,478,1,female,99.0,2,1,sales representative,2,single,2174.0,upto 5k,9150.0,1,y,yes,11,3,3,80,0,3,3,3,3,2,1,2
RM371,21,18-25,yes,travel_rarely,156.0,sales,12,3,life sciences,1,494,3,female,90.0,4,1,sales representative,2,single,2716.0,upto 5k,25422.0,1,y,no,15,3,4,80,0,1,0,3,1,0,0,0
RM497,21,18-25,no,travel_rarely,1343.0,sales,22,1,technical degree,1,669,3,male,49.0,3,1,sales representative,3,single,3447.0,upto 5k,24444.0,1,y,no,11,3,3,80,0,3,2,3,3,2,1,2
RM664,21,18-25,yes,travel_rarely,1427.0,research & development,18,1,other,1,923,4,female,65.0,3,1,research scientist,4,single,2693.0,upto 5k,8870.0,1,y,no,19,3,1,80,0,1,3,2,1,0,0,0
RM778,21,18-25,yes,travel_rarely,1334.0,research & development,10,3,life sciences,1,1079,3,female,36.0,2,1,laboratory technician,1,single,1416.0,upto 5k,17258.0,1,y,no,13,3,1,80,0,1,6,2,1,0,1,0
RM816,21,18-25,no,travel_rarely,984.0,research & development,1,1,technical degree,1,1131,4,female,70.0,2,1,research scientist,2,single,2070.0,upto 5k,25326.0,1,y,yes,11,3,3,80,0,2,6,4,2,2,2,2
RM916,21,18-25,yes,travel_frequently,251.0,research & development,10,2,life sciences,1,1279,1,female,45.0,2,1,laboratory technician,3,single,2625.0,upto 5k,25308.0,1,y,no,20,4,3,80,0,2,2,1,2,2,2,2
RM1153,21,18-25,no,travel_rarely,546.0,research & development,5,1,medical,1,1623,3,male,97.0,3,1,research scientist,4,single,3117.0,upto 5k,26009.0,1,y,no,18,3,3,80,0,3,2,3,2,2,2,2
RM1272,21,18-25,yes,travel_rarely,337.0,sales,7,1,marketing,1,1780,2,male,31.0,3,1,sales representative,2,single,2679.0,upto 5k,4567.0,1,y,no,13,3,2,80,0,1,3,3,1,0,1,0
RM1437,21,18-25,no,travel_rarely,501.0,sales,5,1,medical,1,2021,3,male,58.0,3,1,sales representative,1,single,2380.0,upto 5k,25479.0,1,y,yes,11,3,4,80,0,2,6,3,2,2,1,2
RM018,22,18-25,no,non-travel,1123.0,research & development,16,2,medical,1,22,4,male,96.0,4,1,laboratory technician,4,divorced,2935.0,upto 5k,7324.0,1,y,yes,13,3,2,80,2,1,2,2,1,0,0,0
RM110,22,18-25,no,travel_rarely,534.0,research & development,15,3,medical,1,144,2,female,59.0,3,1,laboratory technician,4,single,2871.0,upto 5k,23785.0,1,y,no,15,3,3,80,0,1,5,3,0,0,0,0
RM129,22,18-25,no,travel_rarely,594.0,research & development,2,1,technical degree,1,169,3,male,100.0,3,1,laboratory technician,4,married,2523.0,upto 5k,19299.0,0,y,no,14,3,3,80,1,3,2,3,2,1,2,1
RM161,22,18-25,no,travel_rarely,1256.0,research & development,19,1,medical,1,217,3,male,80.0,3,1,research scientist,4,married,2323.0,upto 5k,11992.0,1,y,no,24,4,1,80,2,2,6,3,2,2,2,2
RM384,22,18-25,no,travel_rarely,253.0,research & development,11,3,medical,1,511,1,female,43.0,3,1,research scientist,2,married,2244.0,upto 5k,24440.0,1,y,no,13,3,4,80,1,2,1,3,2,1,1,2
RM444,22,18-25,yes,travel_frequently,1368.0,research & development,4,1,technical degree,1,593,3,male,99.0,2,1,laboratory technician,3,single,3894.0,upto 5k,9129.0,5,y,no,16,3,3,80,0,4,3,3,2,2,1,2
RM499,22,18-25,no,travel_rarely,604.0,research & development,6,1,medical,1,675,1,male,69.0,3,1,research scientist,3,married,2773.0,upto 5k,12145.0,0,y,no,20,4,4,80,0,3,3,3,2,2,2,2
RM631,22,18-25,no,travel_rarely,1230.0,research & development,1,2,life sciences,1,872,4,male,33.0,2,2,manufacturing director,4,married,4775.0,upto 5k,19146.0,6,y,no,22,4,1,80,2,4,2,1,2,2,2,2
RM667,22,18-25,yes,travel_rarely,617.0,research & development,3,1,life sciences,1,926,2,female,34.0,3,2,manufacturing director,3,married,4171.0,upto 5k,10022.0,0,y,yes,19,3,1,80,1,4,3,4,3,2,0,2
RM735,22,18-25,no,travel_rarely,217.0,research & development,8,1,life sciences,1,1019,2,male,94.0,1,1,laboratory technician,1,married,2451.0,upto 5k,6881.0,1,y,no,15,3,1,80,1,4,3,2,4,3,1,1
RM861,22,18-25,yes,travel_frequently,1256.0,research & development,3,4,life sciences,1,1203,3,male,48.0,2,1,research scientist,4,married,2853.0,upto 5k,4223.0,0,y,yes,11,3,2,80,1,1,5,3,0,0,0,0
RM1138,22,18-25,no,non-travel,457.0,research & development,26,2,other,1,1605,2,female,85.0,2,1,research scientist,3,married,2814.0,upto 5k,10293.0,1,y,yes,14,3,2,80,0,4,2,2,4,2,1,3
RM1274,22,18-25,yes,travel_rarely,1294.0,research & development,8,1,medical,1,1783,3,female,79.0,3,1,laboratory technician,1,married,2398.0,upto 5k,15999.0,1,y,yes,17,3,3,80,0,1,6,3,1,0,0,0
RM1340,22,18-25,yes,travel_rarely,391.0,research & development,7,1,life sciences,1,1878,4,male,75.0,3,1,research scientist,2,single,2472.0,upto 5k,26092.0,1,y,yes,23,4,1,80,0,1,2,3,1,0,0,0
RM1424,22,18-25,no,travel_rarely,581.0,research & development,1,2,life sciences,1,2007,4,male,63.0,3,1,research scientist,3,single,3375.0,upto 5k,17624.0,0,y,no,12,3,4,80,0,4,2,4,3,2,1,2
RM087,23,18-25,no,travel_rarely,541.0,sales,2,1,technical degree,1,113,3,male,62.0,3,1,sales representative,1,divorced,2322.0,upto 5k,9518.0,3,y,no,13,3,3,80,1,3,3,3,0,0,0,0
RM346,23,18-25,no,travel_rarely,1309.0,research & development,26,1,life sciences,1,465,3,male,83.0,3,1,research scientist,4,divorced,2904.0,upto 5k,16092.0,1,y,no,12,3,3,80,2,4,2,2,4,2,0,2
RM517,23,18-25,no,travel_rarely,885.0,research & development,4,3,medical,1,705,1,male,58.0,4,1,research scientist,1,married,2819.0,upto 5k,8544.0,2,y,no,16,3,1,80,1,5,3,4,3,2,0,2
RM551,23,18-25,no,travel_rarely,650.0,research & development,9,1,medical,1,758,2,male,37.0,3,1,laboratory technician,1,married,2500.0,upto 5k,4344.0,1,y,no,14,3,4,80,1,5,2,4,4,3,0,2
RM566,23,18-25,no,travel_rarely,310.0,research & development,10,1,medical,1,784,1,male,79.0,4,1,research scientist,3,single,3505.0,upto 5k,19630.0,1,y,no,18,3,4,80,0,2,3,3,2,2,0,2
RM586,23,18-25,yes,travel_rarely,1243.0,research & development,6,3,life sciences,1,811,3,male,63.0,4,1,laboratory technician,1,married,1601.0,upto 5k,3445.0,1,y,yes,21,4,3,80,2,1,2,3,0,0,0,0
RM911,23,18-25,no,travel_rarely,373.0,research & development,1,2,life sciences,1,1270,4,male,47.0,3,1,research scientist,3,married,1223.0,upto 5k,16901.0,1,y,no,22,4,4,80,1,1,2,3,1,0,0,1
RM1083,23,18-25,no,travel_rarely,507.0,research & development,20,1,life sciences,1,1533,1,male,97.0,3,2,laboratory technician,3,single,2272.0,upto 5k,24812.0,0,y,no,14,3,2,80,0,5,2,3,4,3,1,2
RM1128,23,18-25,no,travel_rarely,977.0,research & development,10,3,technical degree,1,1592,4,male,45.0,4,1,research scientist,3,married,2073.0,upto 5k,12826.0,2,y,no,16,3,4,80,1,4,2,3,2,2,2,2
RM1202,23,18-25,yes,travel_rarely,1320.0,research & development,8,1,medical,1,1684,4,male,93.0,2,1,laboratory technician,3,single,3989.0,upto 5k,20586.0,1,y,yes,11,3,1,80,0,5,2,3,5,4,1,2
RM1214,23,18-25,yes,travel_rarely,427.0,sales,7,3,life sciences,1,1702,3,male,99.0,3,1,sales representative,4,divorced,2275.0,upto 5k,25103.0,1,y,yes,21,4,2,80,1,3,2,3,3,2,0,2
RM1239,23,18-25,no,travel_rarely,160.0,research & development,4,1,medical,1,1735,3,female,51.0,3,1,laboratory technician,2,single,3295.0,upto 5k,12862.0,1,y,no,13,3,3,80,0,3,3,1,3,2,1,2
RM1409,23,18-25,no,travel_rarely,571.0,research & development,12,2,other,1,1982,4,male,78.0,3,1,laboratory technician,4,single,2647.0,upto 5k,13672.0,1,y,no,13,3,3,80,0,5,6,4,5,2,1,4
RM1439,23,18-25,yes,travel_frequently,638.0,sales,9,3,marketing,1,2023,4,male,33.0,3,1,sales representative,1,married,1790.0,upto 5k,26956.0,1,y,no,19,3,1,80,1,1,3,2,1,0,1,0
RM021,24,18-25,no,non-travel,673.0,research & development,11,2,other,1,26,1,female,96.0,4,2,manufacturing director,3,divorced,4011.0,upto 5k,8232.0,0,y,no,18,3,4,80,1,5,5,2,4,2,1,3
RM035,24,18-25,yes,travel_rarely,813.0,research & development,1,3,medical,1,45,2,male,61.0,3,1,research scientist,4,married,2293.0,upto 5k,3020.0,2,y,yes,16,3,1,80,1,6,2,2,2,0,2,0
RM097,24,18-25,no,travel_rarely,1353.0,sales,3,2,other,1,128,1,female,33.0,3,2,sales executive,3,married,4999.0,upto 5k,17519.0,0,y,no,21,4,1,80,1,4,2,2,3,2,0,2
RM114,24,18-25,no,travel_rarely,1127.0,research & development,18,1,life sciences,1,150,2,male,52.0,3,1,laboratory technician,3,married,2774.0,upto 5k,13257.0,0,y,no,12,3,3,80,1,6,2,3,5,3,1,2
RM381,24,18-25,no,travel_rarely,1371.0,sales,10,4,marketing,1,507,4,female,77.0,3,2,sales executive,3,divorced,4260.0,upto 5k,5915.0,1,y,yes,12,3,4,80,1,5,2,4,5,2,0,3
RM415,24,18-25,yes,travel_rarely,1448.0,sales,1,1,technical degree,1,554,1,female,62.0,3,1,sales representative,2,single,3202.0,upto 5k,21972.0,1,y,yes,16,3,2,80,0,6,4,3,5,3,1,4
RM471,24,18-25,no,travel_frequently,535.0,sales,24,3,medical,1,632,4,male,38.0,3,1,sales representative,4,married,2400.0,upto 5k,5530.0,0,y,no,13,3,3,80,2,3,3,3,2,2,2,1
RM475,24,18-25,no,travel_rarely,691.0,research & development,23,3,medical,1,639,2,male,89.0,4,1,research scientist,4,married,2725.0,upto 5k,21630.0,1,y,yes,11,3,2,80,2,6,3,3,6,5,1,4
RM477,24,18-25,no,travel_rarely,823.0,research & development,17,2,other,1,643,4,male,94.0,2,1,laboratory technician,2,married,2127.0,upto 5k,9100.0,1,y,no,21,4,4,80,1,1,2,3,1,0,0,0
RM480,24,18-25,yes,travel_frequently,1287.0,research & development,7,3,life sciences,1,647,1,female,55.0,3,1,laboratory technician,3,married,2886.0,upto 5k,14168.0,1,y,yes,16,3,4,80,1,6,4,3,6,3,1,2
RM526,24,18-25,yes,travel_rarely,693.0,sales,3,2,life sciences,1,720,1,female,65.0,3,2,sales executive,3,single,4577.0,upto 5k,24785.0,9,y,no,14,3,1,80,0,4,3,3,2,2,2,0
RM587,24,18-25,no,non-travel,1092.0,research & development,9,3,life sciences,1,812,3,male,60.0,2,1,laboratory technician,2,divorced,2694.0,upto 5k,26551.0,1,y,no,11,3,3,80,3,1,4,3,1,0,0,0
RM641,24,18-25,no,non-travel,1269.0,research & development,4,1,life sciences,1,888,1,male,46.0,2,1,laboratory technician,4,married,3162.0,upto 5k,10778.0,0,y,no,17,3,4,80,0,6,2,2,5,2,3,4
RM725,24,18-25,no,travel_rarely,1206.0,research & development,17,1,medical,1,1009,4,female,41.0,2,2,manufacturing director,3,divorced,4377.0,upto 5k,24117.0,1,y,no,15,3,2,80,2,5,6,3,4,2,3,2
RM842,24,18-25,no,travel_rarely,477.0,research & development,24,3,medical,1,1173,4,male,49.0,3,1,laboratory technician,2,single,3597.0,upto 5k,6409.0,8,y,no,22,4,4,80,0,6,2,3,4,3,1,2
RM872,24,18-25,yes,travel_rarely,984.0,research & development,17,2,life sciences,1,1219,4,female,97.0,3,1,laboratory technician,2,married,2210.0,upto 5k,3372.0,1,y,no,13,3,1,80,1,1,3,1,1,0,0,0
RM1026,24,18-25,no,travel_rarely,1476.0,sales,4,1,medical,1,1445,4,female,42.0,3,2,sales executive,3,married,4162.0,upto 5k,15211.0,1,y,yes,12,3,3,80,2,5,3,3,5,4,0,3
RM1061,24,18-25,yes,travel_frequently,381.0,research & development,9,3,medical,1,1494,2,male,89.0,3,1,laboratory technician,1,single,3172.0,upto 5k,16998.0,2,y,yes,11,3,3,80,0,4,2,2,0,0,0,0
RM1062,24,18-25,no,non-travel,830.0,sales,13,2,life sciences,1,1495,4,female,78.0,3,1,sales representative,2,married,2033.0,upto 5k,7103.0,1,y,no,13,3,3,80,1,1,2,3,1,0,0,0
RM1098,24,18-25,no,travel_rarely,350.0,research & development,21,2,technical degree,1,1551,3,male,57.0,2,1,laboratory technician,1,divorced,2296.0,upto 5k,10036.0,0,y,no,14,3,2,80,3,2,3,3,1,1,0,0
RM1169,24,18-25,no,travel_frequently,567.0,research & development,2,1,technical degree,1,1646,1,female,32.0,3,1,research scientist,4,single,3760.0,upto 5k,17218.0,1,y,yes,13,3,3,80,0,6,2,3,6,3,1,3
RM1218,24,18-25,no,travel_rarely,581.0,research & development,9,3,medical,1,1707,3,male,62.0,4,1,research scientist,3,married,4401.0,upto 5k,17616.0,1,y,no,16,3,4,80,1,5,1,3,5,3,0,4
RM1223,24,18-25,yes,travel_rarely,240.0,human resources,22,1,human resources,1,1714,4,male,58.0,1,1,human resources,3,married,1555.0,upto 5k,11585.0,1,y,no,11,3,3,80,1,1,2,3,1,0,0,0
RM1231,24,18-25,no,travel_rarely,506.0,research & development,29,1,medical,1,1725,2,male,91.0,3,1,laboratory technician,1,divorced,3907.0,upto 5k,3622.0,1,y,no,13,3,2,80,3,6,2,4,6,2,1,2
RM1246,24,18-25,no,travel_frequently,897.0,human resources,10,3,medical,1,1746,1,male,59.0,3,1,human resources,4,married,2145.0,upto 5k,2097.0,0,y,no,14,3,4,80,1,3,2,3,2,2,2,1
RM1408,24,18-25,no,travel_rarely,771.0,research & development,1,2,life sciences,1,1981,2,male,45.0,2,2,healthcare representative,3,single,4617.0,upto 5k,14120.0,1,y,no,12,3,2,80,0,4,2,2,4,3,1,2
RM108,25,18-25,yes,travel_rarely,240.0,sales,5,3,marketing,1,142,3,male,46.0,2,2,sales executive,3,single,5744.0,5k-10k,26959.0,1,y,yes,11,3,4,80,0,6,1,3,6,4,0,3
RM109,25,18-25,no,travel_rarely,1280.0,research & development,7,1,medical,1,143,4,male,64.0,2,1,research scientist,4,married,2889.0,upto 5k,26897.0,1,y,no,11,3,3,80,2,2,2,3,2,2,2,1
RM268,25,18-25,no,non-travel,675.0,research & development,5,2,life sciences,1,369,2,male,85.0,4,2,healthcare representative,1,divorced,4000.0,upto 5k,18384.0,1,y,no,12,3,4,80,2,6,2,3,6,3,1,5
RM398,25,18-25,no,travel_rarely,891.0,sales,4,2,life sciences,1,527,2,female,99.0,2,2,sales executive,4,single,4487.0,upto 5k,12090.0,1,y,yes,11,3,2,80,0,5,3,3,5,4,1,3
RM479,25,18-25,no,travel_rarely,622.0,sales,13,1,medical,1,645,2,male,40.0,3,1,sales representative,3,married,2096.0,upto 5k,26376.0,1,y,no,11,3,3,80,0,7,1,3,7,4,0,6
RM518,25,18-25,no,travel_rarely,810.0,sales,8,3,life sciences,1,707,4,male,57.0,4,2,sales executive,2,married,4851.0,upto 5k,15678.0,0,y,no,22,4,3,80,1,4,4,3,3,2,1,2
RM564,25,18-25,no,travel_rarely,883.0,sales,26,1,medical,1,781,3,female,32.0,3,2,sales executive,4,single,6180.0,5k-10k,22807.0,1,y,no,23,4,2,80,0,6,5,2,6,5,1,4
RM619,25,18-25,no,travel_rarely,180.0,research & development,2,1,medical,1,854,1,male,65.0,4,1,research scientist,1,single,3424.0,upto 5k,21632.0,7,y,no,13,3,3,80,0,6,3,2,4,3,0,1
RM635,25,18-25,no,travel_rarely,141.0,sales,3,1,other,1,879,3,male,98.0,3,2,sales executive,1,married,4194.0,upto 5k,14363.0,1,y,yes,18,3,4,80,0,5,3,3,5,3,0,3
RM639,25,18-25,no,travel_rarely,583.0,sales,4,1,marketing,1,885,3,male,87.0,2,2,sales executive,1,married,4256.0,upto 5k,18154.0,1,y,no,12,3,1,80,0,5,1,4,5,2,0,3
RM684,25,18-25,yes,travel_rarely,867.0,sales,19,2,marketing,1,952,3,male,36.0,2,1,sales representative,2,married,2413.0,upto 5k,18798.0,1,y,yes,18,3,3,80,3,1,2,3,1,0,0,0
RM797,25,18-25,yes,travel_rarely,1219.0,research & development,4,1,technical degree,1,1106,4,male,32.0,3,1,laboratory technician,4,married,3691.0,upto 5k,4605.0,1,y,yes,15,3,2,80,1,7,3,4,7,7,5,6
RM886,25,18-25,no,travel_rarely,1356.0,sales,10,4,life sciences,1,1240,3,male,57.0,3,2,sales executive,4,single,4950.0,upto 5k,20623.0,0,y,no,14,3,2,80,0,5,4,3,4,3,1,1
RM912,25,18-25,yes,travel_frequently,599.0,sales,24,1,life sciences,1,1273,3,male,73.0,1,1,sales representative,4,single,1118.0,upto 5k,8040.0,1,y,yes,14,3,4,80,0,1,4,3,1,0,1,0
RM935,25,18-25,no,travel_rarely,266.0,research & development,1,3,medical,1,1303,4,female,40.0,3,1,research scientist,2,single,2096.0,upto 5k,18830.0,1,y,no,18,3,4,80,0,2,3,2,2,2,2,1
RM966,25,18-25,no,travel_rarely,882.0,research & development,19,1,medical,1,1358,4,male,67.0,3,1,laboratory technician,4,married,3669.0,upto 5k,9075.0,3,y,no,11,3,3,80,3,7,6,2,3,2,1,2
RM994,25,18-25,no,travel_rarely,1372.0,sales,18,1,life sciences,1,1399,1,male,93.0,4,2,sales executive,3,married,6232.0,5k-10k,12477.0,2,y,no,11,3,2,80,0,6,3,2,3,2,1,2
RM1004,25,18-25,no,travel_rarely,949.0,research & development,1,3,technical degree,1,1415,1,male,81.0,3,1,laboratory technician,4,married,3229.0,upto 5k,4910.0,4,y,no,11,3,2,80,1,7,2,2,3,2,0,2
RM1022,25,18-25,yes,travel_rarely,383.0,sales,9,2,life sciences,1,1439,1,male,68.0,2,1,sales representative,1,married,4400.0,upto 5k,15182.0,3,y,no,12,3,1,80,0,6,2,3,3,2,2,2
RM1175,25,18-25,no,travel_frequently,772.0,research & development,2,1,life sciences,1,1653,4,male,77.0,4,2,manufacturing director,3,divorced,5206.0,5k-10k,4973.0,1,y,no,17,3,3,80,2,7,6,3,7,7,0,7
RM1412,25,18-25,no,travel_rarely,309.0,human resources,2,3,human resources,1,1987,3,female,82.0,3,1,human resources,2,married,2187.0,upto 5k,19655.0,4,y,no,14,3,3,80,0,6,3,3,2,0,1,2
RM1414,25,18-25,no,travel_rarely,977.0,research & development,2,1,other,1,1992,4,male,57.0,3,1,laboratory technician,3,divorced,3977.0,upto 5k,7298.0,6,y,yes,19,3,3,80,1,7,2,2,2,2,0,2
RM1434,25,18-25,no,travel_rarely,1382.0,sales,8,2,other,1,2018,1,female,85.0,3,2,sales executive,3,divorced,4907.0,upto 5k,13684.0,0,y,yes,22,4,2,80,1,6,3,2,5,3,0,4
RM043,26,26-35,yes,travel_rarely,1357.0,research & development,25,3,life sciences,1,55,1,male,48.0,1,1,laboratory technician,3,single,2293.0,upto 5k,10558.0,1,y,no,12,3,3,80,0,1,2,2,1,0,0,1
RM055,26,26-35,no,travel_rarely,1443.0,sales,23,3,marketing,1,72,3,female,47.0,2,2,sales executive,4,married,4157.0,upto 5k,21436.0,7,y,yes,19,3,3,80,1,5,2,2,2,2,0,0
RM126,26,26-35,no,travel_rarely,841.0,research & development,6,3,other,1,164,3,female,46.0,2,1,research scientist,2,married,2368.0,upto 5k,23300.0,1,y,no,19,3,3,80,0,5,3,2,5,4,4,3
RM135,26,26-35,no,travel_rarely,1355.0,human resources,25,1,life sciences,1,177,3,female,61.0,3,1,human resources,3,married,2942.0,upto 5k,8916.0,1,y,no,23,4,4,80,1,8,3,3,8,7,5,7
RM279,26,26-35,no,travel_frequently,1479.0,research & development,1,3,life sciences,1,384,3,female,84.0,3,2,manufacturing director,2,divorced,6397.0,5k-10k,26767.0,1,y,no,20,4,1,80,1,6,6,1,6,5,1,4
RM285,26,26-35,no,travel_frequently,496.0,research & development,11,2,medical,1,390,1,male,60.0,3,2,healthcare representative,1,married,4741.0,upto 5k,22722.0,1,y,yes,13,3,3,80,1,5,3,3,5,3,3,3
RM289,26,26-35,yes,travel_rarely,1449.0,research & development,16,4,medical,1,394,1,male,45.0,3,1,laboratory technician,2,divorced,2373.0,upto 5k,14180.0,2,y,yes,13,3,4,80,1,5,2,3,3,2,0,2
RM294,26,26-35,yes,travel_rarely,950.0,sales,4,4,marketing,1,401,4,male,48.0,2,2,sales executive,4,single,5828.0,5k-10k,8450.0,1,y,yes,12,3,2,80,0,8,0,3,8,7,7,4
